162,Medallion,0.0%,$3.1k,1,1,
163,Artmattan Prods.,0.0%,$2.8k,1,1,
164,Anchor Bay Films,0.0%,$2.0k,1,1,
165,MarVista Entertainment,0.0%,$1.6k,1,1,
166,FilmBuff,0.0%,$1.5k,1,1,
167,Holt Hamilton Films,0.0%,$0.4k,1,0,
1,Universal,21.3%,"$2,444.9",23,21,
2,Buena Vista,19.8%,"$2,280.2",15,11,
3,Warner Bros.,13.9%,"$1,604.0",39,27,
4,20th Century Fox,11.3%,"$1,302.9",24,17,
5,Sony / Columbia,8.4%,$966.3,20,16,
6,Paramount,5.9%,$674.7,16,12,
7,Lionsgate,5.9%,$673.8,27,25,
8,New Line,2.9%,$337.4,6,4,
9,Weinstein Company,2.6%,$301.5,14,11,
10,Fox Searchlight,1.0%,$119.3,11,8,
11,Focus Features,1.0%,$117.6,12,10,
12,Relativity,0.6%,$74.2,6,4,
13,Open Road Films,0.6%,$70.2,8,6,
14,STX Entertainment,0.6%,$63.9,2,2,
15,Sony Classics,0.5%,$62.0,23,19,
16,A24,0.5%,$55.6,11,9,
17,Roadside Attractions,0.3%,$37.2,12,10,
18,Broad Green Pictures,0.3%,$34.7,7,7,
19,Pure Flix,0.2%,$28.4,3,3,
20,Eros,0.2%,$23.6,14,14,
21,Bleecker Street,0.2%,$22.5,5,5,
22,CBS Films,0.2%,$20.5,1,1,
23,Radius-TWC,0.2%,$17.5,10,9,
24,EuropaCorp,0.1%,$16.1,2,2,
25,IFC,0.1%,$12.4,35,30,
26,UTV Communications,0.1%,$10.2,6,5,
27,FUNimation Films,0.1%,$8.9,4,4,
28,Magnolia,0.1%,$7.3,26,23,
29,High Top Releasing,0.1%,$7.2,1,1,
30,BH Tilt,0.1%,$7.2,1,1,
31,Blue SKy Cinema,0.1%,$6.7,1,1,
32,FIP,0.1%,$6.4,7,7,
33,Well Go USA,0.1%,$6.0,11,11,
34,Samuel Goldwyn,0.0%,$5.4,7,7,
35,China Lion,0.0%,$5.2,21,17,
36,Freestyle Releasing,0.0%,$4.9,16,16,
37,Music Box Films,0.0%,$4.8,15,12,
38,CJ Entertainment,0.0%,$4.7,16,15,
39,Unison/Paladin,0.0%,$3.5,1,1,
40,The Orchard,0.0%,$3.1,9,9,
41,IMAX,0.0%,$2.9,4,0,
42,Alchemy,0.0%,$2.7,6,6,
43,Cohen Media Group,0.0%,$2.6,12,11,
44,Shorts International,0.0%,$2.4,1,1,
45,Yash Raj,0.0%,$2.4,2,2,
46,Clarius Entertainment,0.0%,$2.2,1,1,
47,Cinelou Films,0.0%,$2.0,1,1,
48,GKIDS,0.0%,$1.9,5,3,
49,Gathr Films,0.0%,$1.8,9,6,
50,National Geographic Entertainment,0.0%,$1.7,1,0,
51,Universal Home Entertainment,0.0%,$1.7,1,1,
52,Aascar Film,0.0%,$1.4,1,1,
53,Eleven Arts,0.0%,$1.4,4,2,
54,Excel,0.0%,$1.3,1,1,
55,Kino Lorber,0.0%,$1.3,35,24,
56,Purdie Distribution,0.0%,$1.2,3,2,
57,Picturehouse (II),0.0%,$1.0,2,2,
58,Oscilloscope Pictures,0.0%,$989k,9,8,
59,Thinking Man Films,0.0%,$926k,1,1,
60,Gravitas Ventures,0.0%,$811k,5,5,
61,Rialto,0.0%,$777k,13,9,
62,Drafthouse,0.0%,$732k,12,9,
63,Amplify,0.0%,$725k,3,3,
64,Abramorama,0.0%,$719k,4,4,
65,International Film Circuit,0.0%,$698k,5,4,
66,Fox Star Studios,0.0%,$614k,1,1,
67,Counterpoint Films,0.0%,$568k,1,0,
68,Reliance Films,0.0%,$565k,2,2,
69,Cinema Guild,0.0%,$563k,7,5,
70,Janus Films,0.0%,$544k,4,4,
71,PBS Distribution,0.0%,$517k,1,1,
72,Entertainment One,0.0%,$501k,1,1,
73,Strand,0.0%,$469k,16,15,
74,Showtime,0.0%,$465k,2,2,
75,Film Movement,0.0%,$434k,12,11,
76,The Ciesla Foundation,0.0%,$427k,1,1,
77,Five & Two Pictures,0.0%,$422k,1,0,
78,Submarine Deluxe,0.0%,$422k,5,4,
79,Adopt Films,0.0%,$353k,1,1,
80,Aspiration Media,0.0%,$347k,1,1,
81,Ripple Effect Inc.,0.0%,$316k,1,1,
82,FilmRise,0.0%,$260k,2,2,
83,The Film Arcade,0.0%,$250k,6,6,
84,Play Now Enterprise,0.0%,$240k,1,1,
85,Saban Films,0.0%,$231k,1,0,
86,Starz Media,0.0%,$230k,2,2,
87,Atlas Distribution,0.0%,$228k,1,1,
88,Liberty Studios,0.0%,$177k,1,0,
89,Zipporah Films,0.0%,$169k,2,1,
90,First Run,0.0%,$166k,15,13,
91,Sundance Selects,0.0%,$142k,1,1,
92,Argot Pictures,0.0%,$141k,2,2,
93,Indican,0.0%,$134k,15,15,
94,Zeitgeist,0.0%,$133k,4,2,
95,Tribeca Film,0.0%,$117k,6,5,
96,Azoland,0.0%,$116k,1,1,
97,Distrib Films,0.0%,$115k,10,9,
98,FilmBuff,0.0%,$113k,1,1,
99,Proud Mother Pictures,0.0%,$107k,1,0,
100,First Pond,0.0%,$101k,1,1,
101,Bloodvine Media,0.0%,$96.7k,1,1,
102,Icarus Films,0.0%,$93.0k,11,5,
103,United Entertainment Partners,0.0%,$92.7k,1,1,
104,BBC Worldwide North America,0.0%,$92.2k,2,2,
105,Holt Hamilton Films,0.0%,$91.0k,1,1,
106,"Monterey Media, Inc.",0.0%,$86.8k,12,10,
107,Image Entertainment,0.0%,$78.4k,1,1,
108,The Film Collaborative,0.0%,$78.3k,1,1,
109,Dada Films,0.0%,$75.8k,2,0,
110,Rocky Mountain Pictures,0.0%,$72.3k,1,0,
111,Vertical Entertainment,0.0%,$68.4k,1,1,
112,Epic Pictures,0.0%,$67.1k,1,1,
113,Cinema Libre,0.0%,$52.1k,3,3,
114,Netflix,0.0%,$51.0k,1,1,
115,Monument Releasing,0.0%,$49.8k,3,3,
116,Truth Aid,0.0%,$49.7k,1,1,
117,Participant Media,0.0%,$49.0k,2,2,
118,Cinema Libre Studio,0.0%,$47.9k,2,2,
119,Big World Pictures,0.0%,$40.6k,3,2,
120,Strasson Group,0.0%,$39.7k,1,1,
121,Carlotta Films,0.0%,$31.5k,1,1,
122,Archstone,0.0%,$31.2k,2,2,
123,Providence Film Partners,0.0%,$30.7k,1,1,
124,Independent,0.0%,$30.2k,1,1,
125,Screen Media,0.0%,$28.8k,2,2,
126,Vitagraph,0.0%,$26.7k,1,1,
127,American Experience Films,0.0%,$26.1k,1,0,
128,Watchman Pictures,0.0%,$22.2k,1,1,
129,Mongrel Media,0.0%,$20.5k,2,2,
130,"Bramacharia, LLC",0.0%,$20.4k,1,1,
131,Paladin,0.0%,$20.1k,1,1,
132,Wingate Distribution,0.0%,$19.0k,1,1,
133,Focus World,0.0%,$17.5k,1,1,
134,In the Light,0.0%,$17.0k,1,1,
135,Rumur Releasing,0.0%,$16.6k,1,1,
136,Plymptoons,0.0%,$15.1k,1,1,
137,Cafe Pictures,0.0%,$14.6k,1,1,
138,Fork Films,0.0%,$12.3k,1,1,
139,Under the Milky Way,0.0%,$12.2k,1,1,
140,Corinth Films,0.0%,$12.1k,1,1,
141,Future Educational Films,0.0%,$11.1k,1,0,
142,Anchor Bay Films,0.0%,$11.0k,1,1,
143,Hacienda,0.0%,$11.0k,1,1,
144,Paramount Insurge,0.0%,$10.9k,2,2,
145,Autlook Films,0.0%,$10.2k,1,1,
146,City Drive Films,0.0%,$10.0k,1,1,
147,Honorara Productions,0.0%,$7.9k,1,1,
148,Bond/360,0.0%,$7.7k,1,0,
149,Saboteur Media,0.0%,$7.4k,1,1,
150,The Vladar Company,0.0%,$5.9k,1,1,
151,Phase 4,0.0%,$5.8k,1,1,
152,Kino,0.0%,$5.7k,1,1,
153,Candy Factory,0.0%,$5.7k,1,1,
154,The Film Desk,0.0%,$5.3k,2,1,
155,Hanover Multimedia,0.0%,$5.0k,1,1,
156,The American Film Company,0.0%,$4.6k,1,1,
157,Cinema Purgatorio,0.0%,$4.3k,1,1,
158,Driving With Our Eyes Shut,0.0%,$4.2k,1,0,
159,Dark Frames,0.0%,$3.8k,1,1,
160,Postmill,0.0%,$3.7k,1,1,
161,Industrial House,0.0%,$3.3k,1,1,
162,Reel One,0.0%,$3.2k,1,1,
163,Tombstone,0.0%,$2.7k,1,1,
164,Film Desk,0.0%,$2.7k,1,1,
165,Zell-Koj Studio,0.0%,$1.7k,1,1,
166,The Ashton Times,0.0%,$0.7k,1,0,
167,Millennium Ent.,0.0%,$0.4k,1,0,
168,Area23a,0.0%,$0.3k,1,0,
169,Unknown,0.0%,$0.1k,1,1,
1,20th Century Fox,16.5%,"$1,790.5",22,17,
2,Buena Vista,14.9%,"$1,617.5",17,13,
3,Warner Bros.,14.4%,"$1,562.5",32,23,
4,Sony / Columbia,11.6%,"$1,261.5",22,19,
5,Universal,10.3%,"$1,115.3",18,14,
6,Paramount,9.7%,"$1,052.9",18,14,
7,Lionsgate,6.8%,$736.9,22,18,
8,New Line,4.4%,$480.7,6,5,
9,Weinstein Company,2.0%,$222.0,19,15,
10,Relativity,1.7%,$186.5,12,8,
11,Open Road Films,1.5%,$162.7,9,7,
